FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
       Equity, Comm & Oth Contracts	N/A	1.79	N/A	N/A	1.03	N/A	N/A	1.64	N/A	N/A	1.33	N/A	N/A	1.27	N/A	
    Memo: Marked-to-Market	N/A	61.29	N/A	N/A	55.32	N/A	N/A	55.60	N/A	N/A	69.03	N/A	N/A	19.78	N/A	

 Derivative Contracts (RBC Def)	N/A	54.85	N/A	N/A	57.52	N/A	N/A	45.86	N/A	N/A	20.61	N/A	N/A	24.21	N/A	
    One Year or Less	N/A	16.12	N/A	N/A	13.01	N/A	N/A	10.27	N/A	N/A	6.69	N/A	N/A	10.27	N/A	
    Over 1 Year to 5 Years	N/A	31.50	N/A	N/A	28.79	N/A	N/A	25.19	N/A	N/A	11.25	N/A	N/A	6.10	N/A	
    Over 5 Years	N/A	16.81	N/A	N/A	18.61	N/A	N/A	13.96	N/A	N/A	8.54	N/A	N/A	10.49	N/A	

 Gross Negative Fair Value	N/A	0.77	N/A	N/A	1.01	N/A	N/A	0.79	N/A	N/A	0.34	N/A	N/A	0.66	N/A	
 Gross Positive Fair Value	N/A	1.13	N/A	N/A	1.66	N/A	N/A	1.42	N/A	N/A	1.65	N/A	N/A	2.17	N/A	

 By Tier 1 Capital:	
    Gross Negative Fair Value (x)	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Gross Positive Fair Value (x)	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.01	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
       Held-for-Trading (x)	0.00	0.00	92	0.00	0.00	92	0.00	0.00	92	0.00	0.01	97	0.00	0.01	97	
       Non-Traded (x)	0.00	0.20	44	0.00	0.17	47	0.00	0.19	44	0.00	0.02	74	0.00	0.01	76	
       Non-Traded Marked-to-Mkt(x)	N/A	0.29	N/A	N/A	0.25	N/A	N/A	0.29	N/A	N/A	0.06	N/A	N/A	0.04	N/A	
 Current Credit Exposure (x)	N/A	0.00	N/A	N/A	0.00	N/A	0.00	0.00	71	0.00	0.00	92	0.00	0.00	93	
 Credit Losses on Derivatives	N/A	0.01	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.03	N/A	

 Past Due Derivative Instruments:	
    Fair Value Carried as Assets	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 Other Ratios:	
 Cur Credit Exposure/Risk WT AST	N/A	0.05	N/A	N/A	0.06	N/A	0.00	0.03	71	0.00	0.00	92	0.00	0.00	93	
 Credit Losses on Derivatives/CR Allow	N/A	0.09	N/A	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.06	N/A	N/A	0.52	N/A	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Balance Sheet %
OCC Charter # 0			County: JACKSON			Balance Sheet Percentage Composition--Page 6						7/23/2025 12:03:11 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Percent of Average Assets	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Loans HFS	4.80	0.08	97	4.13	0.07	98	4.94	0.10	97	1.26	0.03	97	0.15	0.05	83	
 Loans HFI	42.31	71.20	3	65.27	70.28	30	57.10	70.99	13	69.49	65.81	56	77.44	61.44	84	
    Less: ACL on LN&LS	0.36	0.85	2	0.45	0.84	5	0.43	0.85	3	0.35	0.84	4	0.31	0.82	3	
       Net Loans & Leases	46.75	70.72	3	68.95	69.77	45	61.62	70.53	20	70.40	65.23	60	77.27	60.98	85	

 Interest-Bearing Bank Balances	32.41	5.29	99	15.74	4.72	93	21.28	4.80	97	12.91	4.58	90	8.59	7.34	63	
 Federal Funds Sold & Resales	0.00	0.12	61	0.00	0.09	62	0.00	0.10	58	0.00	0.40	48	0.00	0.59	46	
 Trading Account Assets	0.00	0.00	91	0.00	0.00	92	0.00	0.00	91	0.00	0.01	98	0.00	0.02	97	
 Held-to-Maturity Securities	0.00	1.48	52	0.00	1.80	50	0.00	1.59	51	0.00	1.42	60	0.00	1.14	60	
    HTM Securities Allowance	0.00	0.00	84	0.00	0.00	84	0.00	0.00	83	0.00	0.00	93	N/A	0.00	N/A	
 Available-for-Sale Securities	8.23	14.09	30	6.56	15.15	22	7.69	14.58	26	6.31	19.41	18	5.00	20.93	13	
 Marketable Equity Sec at FV	0.12	0.01	91	0.20	0.02	94	0.17	0.01	93	0.21	0.00	97	0.12	0.00	95	

    Total Earning Assets	87.51	93.75	1	91.44	93.73	13	90.76	93.72	9	89.82	93.86	3	90.98	94.01	7	

 Nonint Cash & Due From Banks	1.31	1.08	68	2.17	1.03	94	1.89	1.09	91	3.33	1.38	96	3.88	1.49	96	
 Premises, Fix Assts & Cap Leases	0.50	1.39	9	0.87	1.36	22	0.74	1.39	16	0.95	1.43	30	1.66	1.40	66	
 Other Real Estate Owned	0.00	0.02	52	0.08	0.01	89	0.04	0.02	78	0.23	0.01	96	0.31	0.02	96	
 Dir & Indir Inv RE Ventures	0.00	0.00	93	0.00	0.00	92	0.00	0.00	92	0.00	0.01	97	0.00	0.01	97	
 Inv in Unconsolidated Subs	0.00	0.01	86	0.00	0.01	84	0.00	0.01	85	0.00	0.00	91	0.00	0.00	90	
 Other Assets	10.68	3.54	99	5.43	3.64	85	6.58	3.59	94	5.66	3.13	94	3.17	2.86	58	
    Total Non-Earning Assets	12.49	6.25	98	8.56	6.26	86	9.24	6.29	90	10.18	6.14	96	9.02	5.99	92	
       Total Assets	100.00	100.00	84	100.00	100.00	84	100.00	100.00	83	100.00	100.00	93	100.00	100.00	99	

 Standby Letters of Credit	0.03	0.31	13	0.15	0.29	36	0.08	0.31	19	0.26	0.20	68	0.21	0.20	62	

 Liabilities	
 Demand Deposits	56.72	21.07	98	38.85	20.49	89	42.47	20.69	92	34.01	23.12	82	26.54	24.42	57	
 All NOW & ATS Accounts	0.00	8.06	13	0.00	7.33	13	0.00	7.56	12	0.29	10.98	11	0.18	11.63	8	
 Money Market Deposit Accounts	2.70	18.47	6	1.71	18.16	4	3.36	18.33	5	4.59	14.72	12	5.72	16.50	13	
 Other Savings Deposits	10.60	9.64	66	17.94	10.72	79	15.14	10.26	76	20.14	11.96	84	21.09	14.07	80	
 Time Deps At or Below Insurance Limit	17.64	15.58	62	23.96	14.74	84	23.02	15.34	82	24.19	14.32	87	33.15	11.78	97	
 Less: Fully Insured Brokered Deposits	19.40	3.35	94	23.89	3.57	96	25.03	3.34	97	24.01	1.52	98	32.55	0.77	99	
    Core Deposits	68.26	73.74	26	58.57	72.88	11	58.95	73.27	9	59.21	78.22	5	54.14	82.63	1	
 Fully Insured Brokered Deposits	19.40	3.35	94	23.89	3.57	96	25.03	3.34	97	24.01	1.52	98	32.55	0.77	99	
 Time Deps Above Insurance Limit	0.02	7.00	0	0.18	6.13	1	0.08	6.67	0	0.18	5.54	1	0.44	3.80	2	
 Deposits in Foreign Offices	N/A	7.19	N/A	N/A	5.98	N/A	N/A	7.21	N/A	N/A	0.03	N/A	N/A	0.02	N/A	
    Total Deposits	87.68	85.63	65	82.65	84.33	32	84.07	84.81	38	83.40	86.33	25	87.13	88.00	36	

 Federal Funds Purch & Repos	0.00	0.31	65	0.00	0.42	60	0.00	0.36	57	0.00	0.34	59	0.00	0.34	61	
 Total Fed Home Loan Borrowings	0.04	2.47	31	0.53	2.69	33	0.37	2.69	29	0.23	2.41	29	0.00	1.39	31	
 Total Other Borrowings	0.00	0.05	74	0.24	0.82	62	0.25	0.53	64	0.00	0.38	65	0.00	0.02	82	
    Memo: Sht Ter N Core Funding	7.35	11.79	28	5.83	12.24	16	9.15	12.09	36	9.11	8.62	58	18.04	5.19	97	

 Subordinated Notes & Debentures	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.01	99	0.00	0.01	99	
 Other Liabilities	2.24	0.92	96	2.85	0.95	96	2.66	0.95	97	2.95	0.67	98	2.60	0.54	98	
    Total Liabilities (Incl Mortg)	89.96	90.32	38	86.27	90.61	6	87.34	90.48	10	86.58	91.25	6	89.73	91.16	22	

 Total Bank Capital & Min Int	10.04	9.68	61	13.73	9.38	93	12.66	9.52	89	13.42	8.75	93	10.27	8.84	77	
    Total Liabilities & Capital	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	

 Memo: All Brokered Deposits	19.99	3.80	94	23.89	4.00	95	25.24	3.75	97	24.01	1.90	98	32.55	1.01	99	
    Insured Brokered Deposits	19.40	3.35	94	23.89	3.57	96	25.03	3.34	97	24.01	1.52	98	32.55	0.77	99	

 Loans HFS as a % Loans	10.18	0.11	98	5.95	0.11	98	7.96	0.13	98	1.78	0.04	97	0.19	0.09	81	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Allowance & Loan Mix-a
OCC Charter # 0			County: JACKSON			Analysis of Loan Allowance and Loan Mix--Page 7						7/23/2025 12:03:12 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Analysis Ratios	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Loss Provision to Average Assets	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
 Recoveries to Prior Credit Loss	12.90	30.59	34	2.24	42.79	11	4.71	57.51	9	2709.09	120.17	97	4.94	103.92	9	

 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Gross Loss to Average Total LN&LS	0.34	0.08	88	0.03	0.08	47	0.22	0.11	80	0.46	0.07	94	0.01	0.05	37	
 Recoveries to Average Total LN&LS	0.02	0.02	64	0.01	0.02	46	0.02	0.02	57	0.13	0.02	93	0.01	0.03	29	

 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Total LN&LS	0.81	1.20	9	0.68	1.21	4	0.71	1.20	5	0.63	1.28	3	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	

 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	

 Net Losses by Type of LN&LS	
 Real Estate Loans	-0.02	0.00	8	-0.03	0.00	5	-0.01	0.01	14	0.35	0.00	98	0.00	0.00	34	
    Construction & Land Development	-0.07	0.00	2	-0.12	-0.01	1	-0.03	0.00	6	0.48	0.00	98	0.00	-0.03	95	
       1-4 Family Construction	-0.35	0.05	0	-0.39	0.01	0	-0.11	0.00	1	1.13	0.02	99	0.00	-0.01	97	
       Other Construction & Land	0.00	-0.01	97	0.00	-0.01	98	0.00	0.00	92	0.00	-0.02	96	0.00	-0.03	96	
    Secured by Farmland	0.00	0.01	97	0.00	-0.02	97	0.00	0.00	93	0.00	0.01	96	0.00	0.00	96	
    1-4 Family Residential Loans	0.00	0.00	85	0.00	0.00	88	0.00	0.00	69	0.91	0.00	99	-0.02	-0.01	16	
       Home Equity Loans	0.00	-0.01	95	0.00	-0.01	96	0.00	0.00	85	0.00	0.00	93	0.00	-0.03	95	
       1-4 Family 1st Lien Loans	0.00	0.00	88	0.00	0.00	90	0.00	0.00	77	1.01	0.00	99	-0.01	0.00	17	
       1-4 Family Jr Lien Loans	0.00	-0.07	97	0.00	-0.11	97	0.00	-0.01	91	0.00	-0.13	96	-0.42	-0.25	7	
    Multifamily Loans	0.00	0.03	99	0.00	0.02	99	0.00	0.02	96	0.00	0.09	99	0.00	-0.01	99	
    Non-Farm Non-Residential Mtg	0.00	0.00	91	0.00	0.00	91	0.00	0.01	73	0.25	0.00	97	0.00	0.00	88	
       Owner Occupied Nonfarm Nonresidential	0.00	0.00	94	0.00	0.00	94	0.00	0.01	80	1.41	0.00	99	0.00	0.00	91	
       Other Nonfarm Nonresidential	0.00	0.00	95	0.00	-0.01	95	0.00	0.00	85	0.00	-0.01	95	0.00	-0.02	95	
    RE Loans in Foreign Offices	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 Agricultural Loans	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.00	N/A	0.00	0.00	92	
 Commercial and Industrial Loans	0.43	0.11	85	0.43	0.11	86	3.01	0.25	96	3.57	0.11	98	-0.03	0.04	21	
 Loans to Individuals	0.46	0.59	62	0.00	0.63	35	0.05	0.65	28	0.00	0.33	30	0.01	0.25	37	
    Credit Card Plans	1.01	2.33	52	0.00	1.87	33	0.12	1.91	21	0.01	1.07	40	0.01	0.58	45	
    Auto Loans	0.00	0.13	69	0.00	0.11	72	0.00	0.20	52	0.00	0.12	61	0.00	0.06	68	
 Non-Depository, Other & Muni Loans	0.00	0.29	72	0.00	0.47	70	0.00	0.49	65	0.00	0.42	74	0.00	0.47	73	
 Loans to Foreign Governments	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
 Lease Financing	N/A	0.03	N/A	N/A	0.03	N/A	N/A	0.07	N/A	N/A	0.02	N/A	N/A	0.00	N/A	
    Leases to Individuals	N/A	-0.09	N/A	N/A	0.01	N/A	N/A	0.06	N/A	N/A	0.05	N/A	N/A	0.00	N/A	
    All Other Leases	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.03	N/A	N/A	0.04	N/A	N/A	0.00	N/A	

 Supplemental:	
 Loans to Finance Comml Real Estate	0.00	0.63	98	N/A	0.00	N/A	N/A	4.55	N/A	N/A	-0.03	N/A	N/A	-0.06	N/A	


 Change: ACL on LN&LS HFI ($000)																		
 Beginning Balance		5,423			4,321			4,321			3,061			3,011				
 Gross Credit Losses		738			49			1,644			3,035			33				
    Memo: Loans HFS Write-down		0			0			0			0			0				
 Recoveries		53			17			143			894			18				
    Net Credit Losses		685			32			1,501			2,141			15				

 Provision: Credit Losses		1,771			366			2,603			1,909			3,076				
 Other Adjustments		0			0			0			1,492			-3,011				
    ACL on LN&LS HFI		6,509			4,655			5,423			4,321			3,060				

 Average Total Loans & Leases		873,049			708,645			756,866			663,008			620,611				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Allowance & Loan Mix-b
OCC Charter # 0			County: JACKSON			Analysis of Loan Allowance and Loan Mix--Page 7A						7/23/2025 12:03:13 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Loan Mix, % Average Gross LN&LS	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Real Estate Loans	32.40	79.37	2	33.98	78.59	3	32.38	79.22	2	34.92	78.23	1	32.09	77.63	1	
    Construction & Development	8.29	8.59	51	8.45	9.18	46	8.27	8.97	47	9.83	8.03	65	7.75	7.99	53	
       1-4 Family Construction	1.61	1.89	49	2.52	1.99	66	2.19	2.00	60	4.12	2.67	74	4.67	2.75	77	
       Other Const & Land Development	6.67	6.31	57	5.93	6.84	43	6.08	6.62	48	5.71	5.09	59	3.08	4.97	35	
    Secured by Farmland	0.87	3.08	47	1.06	3.06	49	0.99	3.10	48	1.13	6.72	33	1.14	6.64	34	
    1-4 Family Residential	4.61	22.12	6	4.77	21.12	7	4.90	21.92	6	3.93	25.06	3	3.78	24.00	3	
       Home Equity Loans	0.50	2.17	21	0.35	1.93	19	0.41	2.04	20	0.31	1.77	23	0.29	1.76	23	
       1-4 Family 1st Lien Loans	4.01	18.73	8	4.33	18.10	9	4.39	18.72	8	3.54	22.05	4	3.39	21.11	4	
       1-4 Family Jr Lien Loans	0.11	0.54	22	0.10	0.47	23	0.10	0.54	22	0.07	0.57	16	0.09	0.48	18	
    Multifamily	2.83	5.95	25	4.88	5.56	54	4.12	5.63	42	4.19	3.55	64	2.84	3.46	52	
    Non-Farm Non-Residential	15.80	34.32	7	14.82	34.39	6	14.09	34.22	5	15.84	29.51	18	16.57	30.24	17	
       Owner Occupied Non-Farm Non-Residential	3.35	13.38	5	3.16	13.40	5	3.35	13.51	5	2.85	13.49	5	3.23	14.11	6	
       Other Non-Farm Non-Residential	12.45	20.33	19	11.66	20.37	16	10.74	20.07	14	12.99	15.44	46	13.34	15.57	46	
    RE Loans in Foreign Offices	N/A	0.03	N/A	N/A	0.02	N/A	N/A	0.03	N/A	N/A	1.44	N/A	N/A	1.01	N/A	

 Financial Institution Loans	0.00	0.00	92	0.00	0.00	94	0.00	0.00	92	0.00	0.06	95	0.00	0.06	95	
 Agricultural Loans	0.00	1.38	30	0.00	1.39	30	0.00	1.38	29	0.00	3.20	23	0.26	3.20	40	
 Commercial & Industrial Loans	5.15	12.77	14	6.65	13.11	23	6.09	12.72	19	5.97	11.62	18	6.28	12.19	18	
 Loans to Individuals	61.81	2.41	98	58.68	2.64	98	61.11	2.49	99	57.76	2.91	99	60.16	2.87	99	
    Credit Card Loans	28.08	0.03	99	28.61	0.04	99	28.84	0.04	99	32.49	0.02	99	32.95	0.02	99	
    Auto Loans	0.03	0.53	26	0.05	0.58	30	0.04	0.57	27	0.04	1.03	14	0.03	0.99	12	
 Municipal Loans	0.00	0.58	33	0.00	0.57	33	0.00	0.56	31	0.00	0.46	38	0.00	0.48	37	
 Non-Depository and Other	0.65	0.35	78	0.70	0.35	78	0.42	0.34	72	1.35	0.19	91	1.21	0.18	91	
 Loans to Foreign Governments	N/A	0.02	N/A	N/A	0.03	N/A	N/A	0.03	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
 Lease Financing Receivables	0.00	0.06	78	0.00	0.06	78	0.00	0.06	77	0.00	0.03	82	0.00	0.04	81	
    Leases to Individuals	N/A	0.09	N/A	N/A	0.08	N/A	N/A	0.09	N/A	N/A	0.07	N/A	N/A	0.08	N/A	
    All Other Leases	N/A	0.15	N/A	N/A	0.14	N/A	N/A	0.14	N/A	N/A	0.03	N/A	N/A	0.04	N/A	

 Supplemental:	
 Loans to Finance Comml Real Est	0.04	0.19	66	0.00	0.18	60	0.00	0.19	58	0.00	0.07	77	0.00	0.07	77	
 Foreign Office Loans & Leases	0.00	0.01	99	0.00	0.01	99	0.00	0.01	99	0.00	0.00	99	0.00	0.00	99	

 Memorandum (% of Avg Tot Loans):	
    Loans & Lease Commitments	107.68	20.34	99	40.03	21.69	95	99.69	20.17	99	26.63	18.01	85	22.01	20.06	61	
    Officer, Shareholder Loans	0.13	0.89	27	0.13	0.92	25	0.14	0.90	26	0.14	1.08	21	0.16	1.12	23	
 Officer, Shareholder Loans to Assets	0.07	0.61	22	0.09	0.62	26	0.07	0.63	24	0.10	0.69	23	0.12	0.68	26	

 Other Real Estate Owned % Assets	
 Construction & Land Development	0.00	0.00	83	0.00	0.00	83	0.00	0.00	78	0.02	0.00	92	0.00	0.00	83	
    Farmland	0.00	0.00	97	0.00	0.00	97	0.00	0.00	95	0.00	0.00	96	0.00	0.00	94	
    1-4 Family	0.00	0.00	75	0.00	0.00	75	0.00	0.00	66	0.00	0.00	75	0.00	0.00	73	
    Multifamily	0.00	0.00	97	0.00	0.00	98	0.00	0.00	96	0.00	0.00	99	0.00	0.00	99	
    Non-Farm Non-Residential	0.00	0.01	77	0.08	0.00	95	0.04	0.01	90	0.21	0.00	97	0.31	0.00	98	
    Foreign Offices	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 Subtotal	0.00	0.02	52	0.08	0.01	89	0.04	0.02	78	0.23	0.01	96	0.31	0.02	96	
    Direct and Indirect Inv	0.00	0.00	93	0.00	0.00	92	0.00	0.00	92	0.00	0.01	97	0.00	0.01	97	
       Total	0.00	0.03	49	0.08	0.03	85	0.04	0.03	73	0.23	0.02	95	0.31	0.02	95	

 Asset Servicing % Assets	
    Mortgage Servicing w/ Recourse	N/A	0.12	N/A	N/A	0.07	N/A	N/A	0.08	N/A	N/A	0.17	N/A	N/A	0.20	N/A	
    Mortgage Servicing w/o Recourse	N/A	2.53	N/A	N/A	2.41	N/A	N/A	2.12	N/A	N/A	4.01	N/A	N/A	4.39	N/A	
    Other Financial Assets	N/A	1.08	N/A	N/A	1.27	N/A	N/A	1.11	N/A	N/A	0.32	N/A	N/A	0.32	N/A	
       Total	0.00	5.57	47	0.00	5.92	46	0.00	5.60	47	0.00	5.01	64	0.00	5.38	64	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Concentrations of Credit
